,prompt,A,B,C,D,answer,queries
2545,Which part of a pine tree makes food?,root,cone,trunk,needle,D,"what is the best possible answer for this question: Which part of a pine tree makes food?
 (A) cone
 (B) cone
 (C) trunk
 (D) needle
"
98413,Earthquakes can shake,fish,flying birds,clouds,smoke,A,"what is the best possible answer for this question: Earthquakes can shake
 (A) flying birds
 (B) flying birds
 (C) clouds
 (D) smoke
"
93911,A hawk would prefer this for lunch,Popcorn,Grass,Apple,A bison,D,"what is the best possible answer for this question: A hawk would prefer this for lunch
 (A) Grass
 (B) Grass
 (C) Apple
 (D) A bison
"
94060,Which uses gills to breathe?,hermit crab,human,blue whale,bluebird,A,"what is the best possible answer for this question: Which uses gills to breathe?
 (A) human
 (B) human
 (C) blue whale
 (D) bluebird
"
96989,What is least likely to absorb light?,windows,space,glass,foil,D,"what is the best possible answer for this question: What is least likely to absorb light?
 (A) space
 (B) space
 (C) glass
 (D) foil
"
97181,What requires energy for growth?,wood,paper,rubber,anteater,D,"what is the best possible answer for this question: What requires energy for growth?
 (A) paper
 (B) paper
 (C) rubber
 (D) anteater
"
96609,What might have more radiation?,cats,grass,water,cigarettes,D,"what is the best possible answer for this question: What might have more radiation?
 (A) grass
 (B) grass
 (C) water
 (D) cigarettes
"
95642,The sun is good for,Brownies,Envrionments,Buildings,Cars,B,"what is the best possible answer for this question: The sun is good for
 (A) Envrionments
 (B) Envrionments
 (C) Buildings
 (D) Cars
"
94028,"During a sandstorm, a bird looks for a",worm,mate,stream,bush,D,"what is the best possible answer for this question: During a sandstorm, a bird looks for a
 (A) mate
 (B) mate
 (C) stream
 (D) bush
"
97865,Polar bears live in cold what?,tropics,planets,locales,homes,C,"what is the best possible answer for this question: Polar bears live in cold what?
 (A) planets
 (B) planets
 (C) locales
 (D) homes
"
97438,What can reproduce,Spoon,Keyboard,Deceased cat,Living dog,D,"what is the best possible answer for this question: What can reproduce
 (A) Keyboard
 (B) Keyboard
 (C) Deceased cat
 (D) Living dog
"
94325,A new moon can be observed every,1 month,1 week,1 day,1 year.,A,"what is the best possible answer for this question: A new moon can be observed every
 (A) 1 week
 (B) 1 week
 (C) 1 day
 (D) 1 year.
"
94174,How many times per 365.3 days does an equinox occur?,3,1,2,4,C,"what is the best possible answer for this question: How many times per 365.3 days does an equinox occur?
 (A) 1
 (B) 1
 (C) 2
 (D) 4
"
98339,It is illegal to kill animals in,Yosemite,space,Bluerock,eleven,A,"what is the best possible answer for this question: It is illegal to kill animals in
 (A) space
 (B) space
 (C) Bluerock
 (D) eleven
"
95426,Quartz can very easily damage,smelted silica,granite,diamonds,steel,A,"what is the best possible answer for this question: Quartz can very easily damage
 (A) granite
 (B) granite
 (C) diamonds
 (D) steel
"
98066,Which of the following breathes?,a basketball,a rope,a saw,a zebra,D,"what is the best possible answer for this question: Which of the following breathes?
 (A) a rope
 (B) a rope
 (C) a saw
 (D) a zebra
"
94378,The moon orbits an object that orbits the,Earth,moon,sun,Mars,C,"what is the best possible answer for this question: The moon orbits an object that orbits the
 (A) moon
 (B) moon
 (C) sun
 (D) Mars
"
95431,What dissolves in water when combined?,crystal carbohydrates,iron,oil,plastic,A,"what is the best possible answer for this question: What dissolves in water when combined?
 (A) iron
 (B) iron
 (C) oil
 (D) plastic
"
95756,Large fluffy clouds in winter may,sink,burn,melt,precipitate,D,"what is the best possible answer for this question: Large fluffy clouds in winter may
 (A) burn
 (B) burn
 (C) melt
 (D) precipitate
"
98478,Food is a source of energy for what?,anteaters,sand,water,plastic,A,"what is the best possible answer for this question: Food is a source of energy for what?
 (A) sand
 (B) sand
 (C) water
 (D) plastic
"
96639,A shrew requires this for survival.,radiation,air,silicone,clothes,B,"what is the best possible answer for this question: A shrew requires this for survival.
 (A) air
 (B) air
 (C) silicone
 (D) clothes
"
96978,The skeletal system protects the,ears,stomach,nose,thighs,B,"what is the best possible answer for this question: The skeletal system protects the
 (A) stomach
 (B) stomach
 (C) nose
 (D) thighs
"
93924,seeds are often found inside a,banana,cherry,olive,strawberry,B,"what is the best possible answer for this question: seeds are often found inside a
 (A) cherry
 (B) cherry
 (C) olive
 (D) strawberry
"
98338,Elk are protected where?,dogs,nat'l parks,cats,statues,B,"what is the best possible answer for this question: Elk are protected where?
 (A) nat'l parks
 (B) nat'l parks
 (C) cats
 (D) statues
"
98447,If a tree falls then it is what?,alive,expired,lush,growing,B,"what is the best possible answer for this question: If a tree falls then it is what?
 (A) expired
 (B) expired
 (C) lush
 (D) growing
"
95578,What contains chlorophyll?,plastic,water,green organelles,paper,C,"what is the best possible answer for this question: What contains chlorophyll?
 (A) water
 (B) water
 (C) green organelles
 (D) paper
"
97428,light can travel through,trees,rocks,matterless places,rubber,C,"what is the best possible answer for this question: light can travel through
 (A) rocks
 (B) rocks
 (C) matterless places
 (D) rubber
"
97952,Plants use the water for their,heart ache,emotions,buddies,fare,D,"what is the best possible answer for this question: Plants use the water for their
 (A) emotions
 (B) emotions
 (C) buddies
 (D) fare
"
97481,Poison causes harm to,car engines,televisions,wombats,corpses,C,"what is the best possible answer for this question: Poison causes harm to
 (A) televisions
 (B) televisions
 (C) wombats
 (D) corpses
"
97186,An example of combined substances could be,diamonds,tin,cake,water,C,"what is the best possible answer for this question: An example of combined substances could be
 (A) tin
 (B) tin
 (C) cake
 (D) water
"
98134,Metamorphosis is complete at,adulthood,embryo,hatching egg,larva,A,"what is the best possible answer for this question: Metamorphosis is complete at
 (A) embryo
 (B) embryo
 (C) hatching egg
 (D) larva
"
94933,Hummingbirds gather nectar using their,bills,wings,hands,feet,A,"what is the best possible answer for this question: Hummingbirds gather nectar using their
 (A) wings
 (B) wings
 (C) hands
 (D) feet
"
95887,Which is likely to be digested?,metal,water,hush puppies,pain,C,"what is the best possible answer for this question: Which is likely to be digested?
 (A) water
 (B) water
 (C) hush puppies
 (D) pain
"
94004,What contains seeds,human.,whole pumpkin,soda can,leaf,B,"what is the best possible answer for this question: What contains seeds
 (A) whole pumpkin
 (B) whole pumpkin
 (C) soda can
 (D) leaf
"
97939,Which only needs sparse water?,fish,frogs,whales,chuckwallas,D,"what is the best possible answer for this question: Which only needs sparse water?
 (A) frogs
 (B) frogs
 (C) whales
 (D) chuckwallas
"
94700,The most daylight is two months after,October,July,January,April,D,"what is the best possible answer for this question: The most daylight is two months after
 (A) July
 (B) July
 (C) January
 (D) April
"
97745,When the sun is set it is called what?,sleep time,noon,morning,dawn,A,"what is the best possible answer for this question: When the sun is set it is called what?
 (A) noon
 (B) noon
 (C) morning
 (D) dawn
"
94550,How many odorant receptors do honey bees have?,4,270,170,70,C,"what is the best possible answer for this question: How many odorant receptors do honey bees have?
 (A) 270
 (B) 270
 (C) 170
 (D) 70
"
96675,The North Star is,A person,A dog,A cat,many intergalactic beings,D,"what is the best possible answer for this question: The North Star is
 (A) A dog
 (B) A dog
 (C) A cat
 (D) many intergalactic beings
"
97416,What requires energy to move?,a rock,a cloud,a monkey,a leaf,C,"what is the best possible answer for this question: What requires energy to move?
 (A) a cloud
 (B) a cloud
 (C) a monkey
 (D) a leaf
"
95036,Dogs reproduce differently from,bears,wolves,cats,earthworms,D,"what is the best possible answer for this question: Dogs reproduce differently from
 (A) wolves
 (B) wolves
 (C) cats
 (D) earthworms
"
94520,95% of the world's H2O is found in the,antartic,artic,seas,lakes,C,"what is the best possible answer for this question: 95% of the world's H2O is found in the
 (A) artic
 (B) artic
 (C) seas
 (D) lakes
"
97396,What is most like a fish?,offspring of frogs,a desk,a diva,a solar system,A,"what is the best possible answer for this question: What is most like a fish?
 (A) a desk
 (B) a desk
 (C) a diva
 (D) a solar system
"
96475,The organ most made of muscle is the,one pumping blood,brain,liver,kidney,A,"what is the best possible answer for this question: The organ most made of muscle is the
 (A) brain
 (B) brain
 (C) liver
 (D) kidney
"
95068,A bicycle may be used for,rain,cats,coffee grinding,elephants,C,"what is the best possible answer for this question: A bicycle may be used for
 (A) cats
 (B) cats
 (C) coffee grinding
 (D) elephants
"
95182,What do hawks eat?,lizard droppings,bearded dragons,cows,grass,B,"what is the best possible answer for this question: What do hawks eat?
 (A) bearded dragons
 (B) bearded dragons
 (C) cows
 (D) grass
"
94625,Which of these is lacks molecules?,a speech,a dog,a book,a grape,A,"what is the best possible answer for this question: Which of these is lacks molecules?
 (A) a dog
 (B) a dog
 (C) a book
 (D) a grape
"
98305,Which is a byproduct of a lightbulb?,taste,death,warmth,sound,C,"what is the best possible answer for this question: Which is a byproduct of a lightbulb?
 (A) death
 (B) death
 (C) warmth
 (D) sound
"
96752,a complete lunar cycle takes about,a month,a year,a week,a day,A,"what is the best possible answer for this question: a complete lunar cycle takes about
 (A) a year
 (B) a year
 (C) a week
 (D) a day
"
96160,Making a pie produces a,chemical reaction,cake,lots of sweat,fear of ovens,A,"what is the best possible answer for this question: Making a pie produces a
 (A) cake
 (B) cake
 (C) lots of sweat
 (D) fear of ovens
"
95660,What is used to catch prey by some birds?,a bill,fire,nets,cups,A,"what is the best possible answer for this question: What is used to catch prey by some birds?
 (A) fire
 (B) fire
 (C) nets
 (D) cups
"
93466,Before it rains water must collect in,clouds.,snow.,sleet.,fog.,A,"what is the best possible answer for this question: Before it rains water must collect in
 (A) snow.
 (B) snow.
 (C) sleet.
 (D) fog.
"
98311,Some people have an,tubs for skin,extra rib,snakes for hair,magic,B,"what is the best possible answer for this question: Some people have an
 (A) extra rib
 (B) extra rib
 (C) snakes for hair
 (D) magic
"
95140,a carpenter ant requires energy for,studying,yoga,growth,patience,C,"what is the best possible answer for this question: a carpenter ant requires energy for
 (A) yoga
 (B) yoga
 (C) growth
 (D) patience
"
2384,What forms both valleys and canyons?,glaciers,rivers,wind,tides,B,"what is the best possible answer for this question: What forms both valleys and canyons?
 (A) rivers
 (B) rivers
 (C) wind
 (D) tides
"
97091,When would the mail least likely arrive?,blizzard conditions,snow,sleet,rain,A,"what is the best possible answer for this question: When would the mail least likely arrive?
 (A) snow
 (B) snow
 (C) sleet
 (D) rain
"
94878,A compass,knows orientation,Tracks People,Cleans,Invented in 1905,A,"what is the best possible answer for this question: A compass
 (A) Tracks People
 (B) Tracks People
 (C) Cleans
 (D) Invented in 1905
"
97570,Coal might start out as,a mean fairy-godmother,pinecones,happiness,a troll,B,"what is the best possible answer for this question: Coal might start out as
 (A) pinecones
 (B) pinecones
 (C) happiness
 (D) a troll
"
95260,You can find what on the crust of earth,clouds,stars,air,worms,D,"what is the best possible answer for this question: You can find what on the crust of earth
 (A) stars
 (B) stars
 (C) air
 (D) worms
"
97282,Water will always make it's way to the,the earth's core,moon,desert,ocean,D,"what is the best possible answer for this question: Water will always make it's way to the
 (A) moon
 (B) moon
 (C) desert
 (D) ocean
"
96440,A foot uses force on spheres in,baseball,kickball,golf,hockey,B,"what is the best possible answer for this question: A foot uses force on spheres in
 (A) kickball
 (B) kickball
 (C) golf
 (D) hockey
"
97448,Reproduction produces what?,energy,younglings,flames,water,B,"what is the best possible answer for this question: Reproduction produces what?
 (A) younglings
 (B) younglings
 (C) flames
 (D) water
"
97507,The elements will over time level,mountains,the seas,god,giants,A,"what is the best possible answer for this question: The elements will over time level
 (A) the seas
 (B) the seas
 (C) god
 (D) giants
"
96553,June solstice is in winter in,Germany,Canada,New Zealand,Panama,C,"what is the best possible answer for this question: June solstice is in winter in
 (A) Canada
 (B) Canada
 (C) New Zealand
 (D) Panama
"
97648,What would a polecat leave in a chair?,poles,poetry,hair,dusk,C,"what is the best possible answer for this question: What would a polecat leave in a chair?
 (A) poetry
 (B) poetry
 (C) hair
 (D) dusk
"
95554,An example of biofuel could be,metal,the sun,leaves,the wind,C,"what is the best possible answer for this question: An example of biofuel could be
 (A) the sun
 (B) the sun
 (C) leaves
 (D) the wind
"
97689,"After being driven, a car's hood feels",furry,hotter,soft,cold,B,"what is the best possible answer for this question: After being driven, a car's hood feels
 (A) hotter
 (B) hotter
 (C) soft
 (D) cold
"
94987,A fan pushes air with,forks,straw,rotating flat surface,lumber,C,"what is the best possible answer for this question: A fan pushes air with
 (A) straw
 (B) straw
 (C) rotating flat surface
 (D) lumber
"
98201,Listeria can make you,into raw meat,tread water,aroused,feverish,D,"what is the best possible answer for this question: Listeria can make you
 (A) tread water
 (B) tread water
 (C) aroused
 (D) feverish
"
96636,Grow lamps provide artificial sun to,bricks,dogs,succulents,fish,C,"what is the best possible answer for this question: Grow lamps provide artificial sun to
 (A) dogs
 (B) dogs
 (C) succulents
 (D) fish
"
94226,Decomposition is important for,water,medicine,sunlight,food,D,"what is the best possible answer for this question: Decomposition is important for
 (A) medicine
 (B) medicine
 (C) sunlight
 (D) food
"
97339,Friction might be,Breathing,rubbing knees,Running,Rainbows,B,"what is the best possible answer for this question: Friction might be
 (A) rubbing knees
 (B) rubbing knees
 (C) Running
 (D) Rainbows
"
93690,Water vapor is an example of what?,moistness,warmth,heat,coldness,A,"what is the best possible answer for this question: Water vapor is an example of what?
 (A) warmth
 (B) warmth
 (C) heat
 (D) coldness
"
95414,What environment is often green?,tree filled,ice caps,city,desert,A,"what is the best possible answer for this question: What environment is often green?
 (A) ice caps
 (B) ice caps
 (C) city
 (D) desert
"
94910,Some pupa may,Use wet towels,never happen,go into sand,Eat candy,C,"what is the best possible answer for this question: Some pupa may
 (A) never happen
 (B) never happen
 (C) go into sand
 (D) Eat candy
"
96368,The Earth's energy creates,Happiness,Love,Anger,a magnetic creation,D,"what is the best possible answer for this question: The Earth's energy creates
 (A) Love
 (B) Love
 (C) Anger
 (D) a magnetic creation
"
97097,Which is likely born via hatching?,a raven,a goat,a horse,a cat,A,"what is the best possible answer for this question: Which is likely born via hatching?
 (A) a goat
 (B) a goat
 (C) a horse
 (D) a cat
"
95560,Landslides effect things like,cars,the sun,wind,communities,D,"what is the best possible answer for this question: Landslides effect things like
 (A) the sun
 (B) the sun
 (C) wind
 (D) communities
"
97735,Water will become vapor quicker in,Jupiter,Earth,Mercury,Neptune,C,"what is the best possible answer for this question: Water will become vapor quicker in
 (A) Earth
 (B) Earth
 (C) Mercury
 (D) Neptune
"
98449,sound can be heard when it reaches what?,hearing organ,brain,eyes,neck,A,"what is the best possible answer for this question: sound can be heard when it reaches what?
 (A) brain
 (B) brain
 (C) eyes
 (D) neck
"
2261,Which energy resource is non-renewable?,oil,solar,water,wind,A,"what is the best possible answer for this question: Which energy resource is non-renewable?
 (A) solar
 (B) solar
 (C) water
 (D) wind
"
98128,A  cast iron stove uses what as fuel,lasers,timber,light,sound,B,"what is the best possible answer for this question: A  cast iron stove uses what as fuel
 (A) timber
 (B) timber
 (C) light
 (D) sound
"
95234,An object that contains gas often goes,in circles,forward,down,up,D,"what is the best possible answer for this question: An object that contains gas often goes
 (A) forward
 (B) forward
 (C) down
 (D) up
"
94103,Earth is a similar material as,Mars,Jupiter,Neptune,the sun,A,"what is the best possible answer for this question: Earth is a similar material as
 (A) Jupiter
 (B) Jupiter
 (C) Neptune
 (D) the sun
"
98283,When is fog most likely to occur,3 p.m.,midnight,6 p.m.,noon,B,"what is the best possible answer for this question: When is fog most likely to occur
 (A) midnight
 (B) midnight
 (C) 6 p.m.
 (D) noon
"
95256,Humming birds help with the growth of,raspberries,cars,buildings,wind,A,"what is the best possible answer for this question: Humming birds help with the growth of
 (A) cars
 (B) cars
 (C) buildings
 (D) wind
"
98050,Female birds sit in what?,assorted materials,trash cans,chimneys,boxes,A,"what is the best possible answer for this question: Female birds sit in what?
 (A) trash cans
 (B) trash cans
 (C) chimneys
 (D) boxes
"
96669,tuna swim extremely fast to catch,sharks,kelp,anchovies,starfish,C,"what is the best possible answer for this question: tuna swim extremely fast to catch
 (A) kelp
 (B) kelp
 (C) anchovies
 (D) starfish
"
94575,Birds feed their babies by,telepathy,flying,osmosis,regurgitation,D,"what is the best possible answer for this question: Birds feed their babies by
 (A) flying
 (B) flying
 (C) osmosis
 (D) regurgitation
"
98138,Which would likely reproduce?,copiers,waterfowl,rocks,rivers,B,"what is the best possible answer for this question: Which would likely reproduce?
 (A) waterfowl
 (B) waterfowl
 (C) rocks
 (D) rivers
"
98048,Which would likely live under a rock?,an eagle,a cat,a vole,a dog,C,"what is the best possible answer for this question: Which would likely live under a rock?
 (A) a cat
 (B) a cat
 (C) a vole
 (D) a dog
"
97138,Stepping in a lake causes,tsunamis,ripples,typhoons,earthquakes,B,"what is the best possible answer for this question: Stepping in a lake causes
 (A) ripples
 (B) ripples
 (C) typhoons
 (D) earthquakes
"
93821,Air is considered to be a vehicle for..?,Light,Wind,Speed,Sound,D,"what is the best possible answer for this question: Air is considered to be a vehicle for..?
 (A) Wind
 (B) Wind
 (C) Speed
 (D) Sound
"
98367,What requires an electrical conductor?,cording,rocks,winds,fires,A,"what is the best possible answer for this question: What requires an electrical conductor?
 (A) rocks
 (B) rocks
 (C) winds
 (D) fires
"
95312,"Dead organisms, like trees provide",thriving communities,families,love,heat,A,"what is the best possible answer for this question: Dead organisms, like trees provide
 (A) families
 (B) families
 (C) love
 (D) heat
"
95314,A source of heat is used to make,ice cream,salad,lemonade,pastries,D,"what is the best possible answer for this question: A source of heat is used to make
 (A) salad
 (B) salad
 (C) lemonade
 (D) pastries
"
95651,Rain and what cause erosion?,wind vanes,sunlight,concrete,drafts,D,"what is the best possible answer for this question: Rain and what cause erosion?
 (A) sunlight
 (B) sunlight
 (C) concrete
 (D) drafts
"
95205,Rain helps,candy,communities thrive,cooking,bread,B,"what is the best possible answer for this question: Rain helps
 (A) communities thrive
 (B) communities thrive
 (C) cooking
 (D) bread
"
98356,Which is a cause of greenhouse gases?,elephants,pears,boulders,oaks,A,"what is the best possible answer for this question: Which is a cause of greenhouse gases?
 (A) pears
 (B) pears
 (C) boulders
 (D) oaks
"
96787,What would be removed via the kidneys?,bacteria,organs,blood,skin,A,"what is the best possible answer for this question: What would be removed via the kidneys?
 (A) organs
 (B) organs
 (C) blood
 (D) skin
"
95620,Sedimentary rock may be a result of,metal,old silt,grass,hay,B,"what is the best possible answer for this question: Sedimentary rock may be a result of
 (A) old silt
 (B) old silt
 (C) grass
 (D) hay
"
95516,What could be used as a conductor?,a cat,A penny,a cloud,wood,B,"what is the best possible answer for this question: What could be used as a conductor?
 (A) A penny
 (B) A penny
 (C) a cloud
 (D) wood
"
92479,At what temperature does pure water boil?,0°C,32°C,100°C,212°C,C,"what is the best possible answer for this question: At what temperature does pure water boil?
 (A) 32°C
 (B) 32°C
 (C) 100°C
 (D) 212°C
"
94859,Which of these animals might eat a steak?,Chicken,Lion,Cow,Buffalo,B,"what is the best possible answer for this question: Which of these animals might eat a steak?
 (A) Lion
 (B) Lion
 (C) Cow
 (D) Buffalo
"
97627,What might have more closely packed matter,air,wood,gold,water,C,"what is the best possible answer for this question: What might have more closely packed matter
 (A) wood
 (B) wood
 (C) gold
 (D) water
"
95656,Cameras reflect,a persona,good decisions,UV rays,the stars,C,"what is the best possible answer for this question: Cameras reflect
 (A) good decisions
 (B) good decisions
 (C) UV rays
 (D) the stars
"
4256,Which of the following is a mineral?,diamond,plastic,steel,wood,A,"what is the best possible answer for this question: Which of the following is a mineral?
 (A) plastic
 (B) plastic
 (C) steel
 (D) wood
"
94902,The amount of transpiration is lower in,summer,fall,winter,spring,C,"what is the best possible answer for this question: The amount of transpiration is lower in
 (A) fall
 (B) fall
 (C) winter
 (D) spring
"
96525,Who would refrain from eating a salad?,horses,cows,wolves,rabbits,C,"what is the best possible answer for this question: Who would refrain from eating a salad?
 (A) cows
 (B) cows
 (C) wolves
 (D) rabbits
"
96177,You might recycle plastic by creating,happiness,love,beanies,the sun,C,"what is the best possible answer for this question: You might recycle plastic by creating
 (A) love
 (B) love
 (C) beanies
 (D) the sun
"
94240,The bee provided a valuable service to the,house.,rock,water,rose,D,"what is the best possible answer for this question: The bee provided a valuable service to the
 (A) rock
 (B) rock
 (C) water
 (D) rose
"
96689,A scale can measure,javascript,intentions,guitar picks,thoughts,C,"what is the best possible answer for this question: A scale can measure
 (A) intentions
 (B) intentions
 (C) guitar picks
 (D) thoughts
"
98030,"Volcanoes, have a",Esophagus,Camels,Emotional experience,Cigarettes,A,"what is the best possible answer for this question: Volcanoes, have a
 (A) Camels
 (B) Camels
 (C) Emotional experience
 (D) Cigarettes
"
98417,Reflectors are used to reflect light on,cardboard,paint,buses,birds,C,"what is the best possible answer for this question: Reflectors are used to reflect light on
 (A) paint
 (B) paint
 (C) buses
 (D) birds
"
97302,An electromagnet contains cylindrical what?,plate armor,wind,water,air,A,"what is the best possible answer for this question: An electromagnet contains cylindrical what?
 (A) wind
 (B) wind
 (C) water
 (D) air
"
96852,A ceramic dish from the dishwasher will be,dirty,cold,clear,warm,D,"what is the best possible answer for this question: A ceramic dish from the dishwasher will be
 (A) cold
 (B) cold
 (C) clear
 (D) warm
"
94265,What could be used to fill a beach ball?,Aluminium,Iron,Oxygen,Water,C,"what is the best possible answer for this question: What could be used to fill a beach ball?
 (A) Iron
 (B) Iron
 (C) Oxygen
 (D) Water
"
97678,What eats other animals for food?,marlins,goats,rabbits,elephants,A,"what is the best possible answer for this question: What eats other animals for food?
 (A) goats
 (B) goats
 (C) rabbits
 (D) elephants
"
93686,an example of an excellent earth mover is,cat,dog,annelids,fish,C,"what is the best possible answer for this question: an example of an excellent earth mover is
 (A) dog
 (B) dog
 (C) annelids
 (D) fish
"
93659,You can make a telescope with a,straw,Glass,Candle,mailing tube,D,"what is the best possible answer for this question: You can make a telescope with a
 (A) Glass
 (B) Glass
 (C) Candle
 (D) mailing tube
"
96625,What are some birds?,people,creature eaters,fish,solar,B,"what is the best possible answer for this question: What are some birds?
 (A) creature eaters
 (B) creature eaters
 (C) fish
 (D) solar
"
94864,What eat other animals?,herbivores,bacteria,flesh eaters,giraffes,C,"what is the best possible answer for this question: What eat other animals?
 (A) bacteria
 (B) bacteria
 (C) flesh eaters
 (D) giraffes
"
97895,What requires energy for survival?,air,giraffes,rocks,sand,B,"what is the best possible answer for this question: What requires energy for survival?
 (A) giraffes
 (B) giraffes
 (C) rocks
 (D) sand
"
97714,Duracell's convert chemicals to,ocean current,sunlight,magic,voltage,D,"what is the best possible answer for this question: Duracell's convert chemicals to
 (A) sunlight
 (B) sunlight
 (C) magic
 (D) voltage
"
95132,what sheds fur in warm weather?,A Great Dane,a lizard,a bird,a fish,A,"what is the best possible answer for this question: what sheds fur in warm weather?
 (A) a lizard
 (B) a lizard
 (C) a bird
 (D) a fish
"
94012,A skill some humans have is,ten fingers,vision,heart beating,talking,D,"what is the best possible answer for this question: A skill some humans have is
 (A) vision
 (B) vision
 (C) heart beating
 (D) talking
"
96949,What kind of energy causes evaporation?,hot,cold,sound,kinetic,A,"what is the best possible answer for this question: What kind of energy causes evaporation?
 (A) cold
 (B) cold
 (C) sound
 (D) kinetic
"
96306,Two wheeled conveyances are held together by,helically ridged pins,tape,glue,gum,A,"what is the best possible answer for this question: Two wheeled conveyances are held together by
 (A) tape
 (B) tape
 (C) glue
 (D) gum
"
94939,A source of heat could be,an ice cube,a fan,holding hands,a snowflake,C,"what is the best possible answer for this question: A source of heat could be
 (A) a fan
 (B) a fan
 (C) holding hands
 (D) a snowflake
"
97308,the lunar surface contains,aliens,snakes,bumpless regions,trees,C,"what is the best possible answer for this question: the lunar surface contains
 (A) snakes
 (B) snakes
 (C) bumpless regions
 (D) trees
"
97903,A rocket's movement is most like a,rock,house,bag of gas,stone,C,"what is the best possible answer for this question: A rocket's movement is most like a
 (A) house
 (B) house
 (C) bag of gas
 (D) stone
"
98225,Which animal interacts most with a peony?,human,bee,elephant,worm,B,"what is the best possible answer for this question: Which animal interacts most with a peony?
 (A) bee
 (B) bee
 (C) elephant
 (D) worm
"
96807,Hotter blood is rarely found,in horny toads,in rats,in humans,in bears,A,"what is the best possible answer for this question: Hotter blood is rarely found
 (A) in rats
 (B) in rats
 (C) in humans
 (D) in bears
"
96170,Which can is depleted permanently?,bright sunlight,corn,polluted water,coal,D,"what is the best possible answer for this question: Which can is depleted permanently?
 (A) corn
 (B) corn
 (C) polluted water
 (D) coal
"
98278,Poison causes harm to what things?,vibrant,mineral,dead,decaying,A,"what is the best possible answer for this question: Poison causes harm to what things?
 (A) mineral
 (B) mineral
 (C) dead
 (D) decaying
"
96958,"Unlike CO2, oxygen is a waste product of",the moon,rocks,cactus,hair,C,"what is the best possible answer for this question: Unlike CO2, oxygen is a waste product of
 (A) rocks
 (B) rocks
 (C) cactus
 (D) hair
"
92618,Light enters the human eye through the,retina.,pupil.,iris.,lens.,B,"what is the best possible answer for this question: Light enters the human eye through the
 (A) pupil.
 (B) pupil.
 (C) iris.
 (D) lens.
"
93697,I can use electrical energy to,Run a mile,Swim,bake a bagel,Rock climb,C,"what is the best possible answer for this question: I can use electrical energy to
 (A) Swim
 (B) Swim
 (C) bake a bagel
 (D) Rock climb
"
97673,Diamonds are made and dispersed by,volcanoes,gypsies,giants,clouds,A,"what is the best possible answer for this question: Diamonds are made and dispersed by
 (A) gypsies
 (B) gypsies
 (C) giants
 (D) clouds
"
96176,Which was happens most near canyons,the moon,whales,riverflow,fear,C,"what is the best possible answer for this question: Which was happens most near canyons
 (A) whales
 (B) whales
 (C) riverflow
 (D) fear
"
98409,something in a cold place becomes what?,warmish,toasty,hot,chilly,D,"what is the best possible answer for this question: something in a cold place becomes what?
 (A) toasty
 (B) toasty
 (C) hot
 (D) chilly
"
97159,To pass on heat one might,eat food,hold hands,time travel,fart,B,"what is the best possible answer for this question: To pass on heat one might
 (A) hold hands
 (B) hold hands
 (C) time travel
 (D) fart
"
97145,Polar bears live in,deserts,snowy areas,apartments,hot areas,B,"what is the best possible answer for this question: Polar bears live in
 (A) snowy areas
 (B) snowy areas
 (C) apartments
 (D) hot areas
"
95631,A type of animal that can shed is a,frog,monkey,chicken,salmon,B,"what is the best possible answer for this question: A type of animal that can shed is a
 (A) monkey
 (B) monkey
 (C) chicken
 (D) salmon
"
94002,The source of a type of energy we use is a,planet,star,meteor,rock,B,"what is the best possible answer for this question: The source of a type of energy we use is a
 (A) star
 (B) star
 (C) meteor
 (D) rock
"
1765,Which of these is an example of liquid water?,Frost,Ice,Rain,Steam,C,"what is the best possible answer for this question: Which of these is an example of liquid water?
 (A) Ice
 (B) Ice
 (C) Rain
 (D) Steam
"
92268,Which of these is the chemical symbol for magnesium?,Ma,Mg,Mn,Mu,B,"what is the best possible answer for this question: Which of these is the chemical symbol for magnesium?
 (A) Mg
 (B) Mg
 (C) Mn
 (D) Mu
"
94839,What are sources of shelter for small animals?,andesite,wind,sun,air,A,"what is the best possible answer for this question: What are sources of shelter for small animals?
 (A) wind
 (B) wind
 (C) sun
 (D) air
"
97477,What is most impervious to an ax?,a thin branch,a neck,a twig,a boulder,D,"what is the best possible answer for this question: What is most impervious to an ax?
 (A) a neck
 (B) a neck
 (C) a twig
 (D) a boulder
"
95734,"At 30 degress fahrenheit, water is",hot,solid,quenching,gaseous,B,"what is the best possible answer for this question: At 30 degress fahrenheit, water is
 (A) solid
 (B) solid
 (C) quenching
 (D) gaseous
"
2548,Which plant part is similar to a bird's egg?,leaf,root,seed,stem,C,"what is the best possible answer for this question: Which plant part is similar to a bird's egg?
 (A) root
 (B) root
 (C) seed
 (D) stem
"
96516,Which likely sustains a bamboo shoot?,darkness,bees,nutrients,pandas,C,"what is the best possible answer for this question: Which likely sustains a bamboo shoot?
 (A) bees
 (B) bees
 (C) nutrients
 (D) pandas
"
94223,Where is December warmest?,Nebraska,Canada,Papua New Guinea,Israel,C,"what is the best possible answer for this question: Where is December warmest?
 (A) Canada
 (B) Canada
 (C) Papua New Guinea
 (D) Israel
"
95626,Reptiles may actually be,grumpy,brainless,magical,pea brained,D,"what is the best possible answer for this question: Reptiles may actually be
 (A) brainless
 (B) brainless
 (C) magical
 (D) pea brained
"
